ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
80 - Chandra Layout,West,Govindraj Nagar,2020,0.1917904582937782,0.03575764249323059,39.023538713590014
35 - Hombegowda Nagara,Central,Chickpet,2020,0.25862150190030686,0.030537394400462867,38.1745779372843
70 - Iblur,South,Bommanahalli,2020,0.2647226595517409,0.10774699654942373,34.240014302581976
42 - Priyadarshini Ward,East,Mahadevapura,2020,0.23239571256449662,0.029280384782741954,33.94463162763899
95 - Swamy Vivekananda Ward,West,Basavanagudi,2020,0.2553349327425079,-4.892454936024556E-4,37.41714258993286
32 - Kudlu,South,Anekal,2020,0.2404653408809644,0.06946901044296659,35.917173411391595
27 - K.G.Halli,North,Sarvagnanagar,2020,0.12246855757256253,0.10956663040599741,40.93016661685218
25 - National Games Village,South,B.T.M Layout,2020,0.2347623000204421,0.03134964702358262,36.90553586818391
83 - Hampi Nagar,West,Vijayanagar,2020,0.2681404773986836,-0.0031934006646997942,38.31024221005136
68 - Mallasandra,North,Dasarahalli,2020,0.20842197093242834,0.06395797706482749,38.91496362739453
70 - Manjunatha Nagar,North,Dasarahalli,2020,0.21581289950091112,0.058675442904337266,39.37311841617942
48 - Vasanthapura,South,Bangalore South,2020,0.22900922369083557,0.052285660575966786,37.36318646600245
63 - Rajajinagara,West,Rajajinagar,2020,0.26945774334175265,0.0037451722101115303,38.33230854465987
12 - Andrahalli,West,Yeshwanthapura,2020,0.2575388055603198,0.08420944818842224,39.33508981850213
22 - S.G Palya,South,B.T.M Layout,2020,0.27252064456980996,0.018012597627709282,36.90028505151593
23 - Sangama Ward,East,K.R. Pura,2020,0.33511491941913885,-5.595946083283556E-4,35.6172943082735
21 - Mylasandra,West,Yeshwanthapura,2020,0.2937132601657017,0.040774527842378026,37.24512498614844
46 - Sagayapuram,North,Pulakeshinagar,2020,0.2672302224524877,0.021604609476179742,38.383773833094494
68 - Kamakshipalya,West,Rajajinagar,2020,0.23022342044988464,0.03451636954416369,39.06469203107877
36 - Someshwara Nagara,Central,Chickpet,2020,0.22883350966252944,0.03747984126753854,38.064007159509025
47 - Pulakeshi Nagar,North,Pulakeshinagar,2020,0.32976782594922716,-0.02442896006629788,37.22034311896453
23 - Lakkasandra,South,B.T.M Layout,2020,0.21916457761912567,0.0274409291541443,37.840344164120836
53 - Jaraganahalli,South,Bommanahalli,2020,0.25107516099471366,-0.022814312839726944,36.334193099644125
24 - HBR Layout,North,Sarvagnanagar,2020,0.25173542990201153,0.038878538650704626,38.59888758195331
27 - Ambedkarnagar,Central,Shanthinagar,2020,0.17480657785205148,0.07298573718817634,37.218875206336655
19 - Kengeri,West,Yeshwanthapura,2020,0.2977580767214345,0.01331824108336328,38.5331740950956
12 - Pattabhirama Nagara,South,Jayanagar,2020,0.30084342458949015,-0.028736274803425305,36.35526806805956
7 - K Kamaraj Ward,Central,Shivajinagar,2020,0.27954489435107466,-0.03132060884910601,35.20721880755379
33 - Lakshmi Devi Nagar,West,Rajarajeshwarinagar,2020,0.1638341450479262,0.09046866615800116,40.038493807494575
92 - Muneshwara Block,West,Vijayanagar,2020,0.19821332232019798,0.06868998772021626,40.16972910449688
18 - Kengal Hanumanthaiah West,West,Yeshwanthapura,2020,0.27400715622366617,0.053050011613059306,38.53339019248617
56 - Gayathri Nagara,West,Malleshwaram,2020,0.14563291122131286,0.07260599825367454,39.064489938997944
55 - Subramanyanagara,West,Malleshwaram,2020,0.19846744006800757,0.028682813732889948,38.65693052068647
32 - Channasandra,East,Mahadevapura,2020,0.2923202874555533,0.026137062742773914,34.602549512485
60 - Jalahalli,North,Rajarajeshwarinagar,2020,0.3596763296271389,0.010693557638828075,37.40140505496185
